#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
336.938336,77,37.716067
236.408409,53,37.803352
175.762291,36,37.858941
317.006661,67,37.994071
153.458161,32,38.059689
235.828902,47,38.148818
154.146125,33,38.209553
224.447348,46,38.299526
246.996156,54,38.384144
235.092165,50,38.461496
229.01845,51,38.542487
218.193793,41,38.60202
329.062075,63,38.70803
270.976004,61,38.814798
174.821688,37,38.866709
434.128804,88,38.993528
253.47595,54,39.078819
274.803389,61,39.182999
311.351386,60,39.303968
319.398828,68,39.436447
177.608354,38,39.488379
279.250411,56,39.600049
468.449046,90,39.746635
267.820234,57,39.860776
314.768668,66,40.000075
239.707512,47,40.092948
249.758642,52,42.59502
191.134581,39,42.652045
405.605821,94,42.791397
328.873309,67,42.901224
381.310426,71,43.013725
146.699767,32,43.06184
129.238306,26,43.099722
419.565246,81,43.26364
139.549323,32,43.316597
284.289778,62,43.40483
255.416953,51,43.479383
296.34904,55,43.561286
270.897615,55,43.646207
155.075554,30,43.690785
85.621683,18,43.718141
296.723463,56,43.808524
207.659709,42,43.867801
417.394652,87,43.993569
290.688456,56,44.076266
200.932344,42,44.137738
257.449938,54,44.226146
128.707826,26,44.269662
231.967123,47,44.339693
347.708884,76,44.465991
274.588363,58,44.566763
224.145502,44,44.640455
311.76167,59,44.743539
265.434685,54,44.824439
244.095014,54,44.921437
290.160915,59,45.017548
289.565978,64,45.10937
382.759729,79,45.229443
234.418704,53,45.308958
187.644432,44,45.376793
120.323445,26,45.416495
392.88091,89,45.565207
266.749899,56,45.645942
235.831349,48,45.71637
226.88401,51,48.382751
303.660663,63,48.46645
222.457579,42,48.5249
327.691257,69,48.619844
305.087369,65,48.706893
357.845815,73,48.805848
196.064776,38,48.856711
264.91841,52,48.924458
358.416632,75,49.023819
368.053395,67,49.113227
272.699343,54,49.185348
258.110817,56,49.260535
377.622845,70,49.355497
313.185465,64,49.442517
243.664431,49,49.507409
264.897158,53,49.577467
166.397248,34,49.622111
373.03326,76,49.725366
226.09476,50,49.791755
346.585582,76,49.893479
171.471411,36,49.940396
193.872615,42,49.995378
244.18577,49,50.059646
150.016396,31,50.102013
310.086437,64,50.187327
329.638411,63,50.284272
279.830662,58,50.377981
124.600555,25,50.432227
266.534973,63,50.569845
168.44131,38,50.642283
127.516998,26,50.692059
265.285075,63,50.801932
289.940026,58,50.882494
225.758331,45,50.945682
372.697838,73,51.04629
290.325839,61,51.146964
261.340195,53,51.23921
267.320408,56,54.356139
364.250843,79,54.502536
277.490623,57,54.603942
225.369957,47,54.678544
168.595103,37,54.729284
234.204588,46,54.792171
330.337919,68,54.884571
256.100543,55,54.961544
227.798346,44,55.022911
363.599923,75,55.129606
