#{"env_id": "Humanoid-v2", "t_start": 1530713429.5316768}
r,l,t
286.059559,58,36.781208
170.64099,36,36.859186
247.366233,51,36.965637
202.575295,42,37.025475
231.619561,50,37.132397
311.513251,73,37.257282
188.492291,39,37.31205
334.691708,69,37.41842
165.584411,39,37.4865
319.539687,66,37.604029
288.698304,56,37.712777
145.407558,31,37.757513
274.578184,53,37.84396
207.91237,46,37.926588
237.881046,54,38.005898
236.162996,51,38.078135
228.048468,49,38.151695
272.375631,55,38.255202
369.824013,71,38.397753
239.768028,52,38.490596
295.754933,61,38.599712
107.490922,22,38.631854
188.493508,40,38.707732
117.670757,25,38.749004
175.719975,36,38.813196
180.930237,42,38.895588
184.193624,44,38.989206
318.584419,60,39.11321
161.896993,34,39.171051
227.279507,47,39.240054
256.348967,51,39.316062
180.911186,38,39.367203
148.738349,36,39.415514
227.724992,47,39.492756
259.137531,57,39.591945
299.490805,65,39.700054
279.533238,61,39.808434
147.096424,31,39.875581
315.495359,64,40.015158
446.966048,86,42.463448
160.520412,34,42.515869
245.185757,51,42.593387
222.272457,43,42.672745
115.959593,24,42.724126
145.341504,34,42.774953
253.14976,57,42.855782
200.089139,44,42.928835
299.446392,60,43.06194
288.88873,65,43.175547
282.161255,55,43.293837
268.258206,55,43.395282
212.17074,47,43.462139
178.561301,37,43.514353
423.118658,85,43.685482
272.439165,66,43.807414
197.040292,40,43.873244
273.490729,58,43.969432
119.078586,24,44.011284
157.196055,33,44.066603
323.659276,62,44.186458
368.228992,74,44.31777
113.250856,23,44.359508
258.321686,51,44.451409
275.904085,53,44.546704
166.016434,35,44.608529
188.579005,41,44.686033
362.750467,70,44.811963
332.61232,73,44.942621
349.997253,72,45.059424
192.983371,39,45.119062
221.61406,47,45.189759
273.813025,56,45.300425
373.12057,79,45.444053
210.129662,46,45.518412
201.139727,46,45.603405
208.508246,44,45.666978
211.61679,44,45.731757
216.541388,46,45.803363
144.87343,29,45.861677
159.399569,36,45.932723
165.059622,38,46.009504
301.557848,72,48.334827
181.105686,37,48.399332
382.833185,83,48.559215
216.207353,46,48.648101
163.165842,34,48.708727
199.667139,44,48.78318
202.300898,43,48.853722
332.978836,64,48.956032
357.728572,74,49.123319
346.104109,65,49.262514
255.594024,52,49.366389
172.004022,38,49.444392
214.201805,46,49.514728
272.522357,56,49.602262
214.951648,50,49.671127
340.920116,76,49.783831
301.485976,58,49.893937
250.60845,50,49.987503
157.167171,33,50.0469
248.993536,51,50.134967
412.449465,91,50.322826
352.25279,76,50.483735
431.372142,88,50.63235
265.762105,54,50.725166
336.336805,73,50.852896
227.974099,54,50.968267
133.624711,28,51.025306
275.613908,57,51.123908
210.432221,44,51.201571
292.341501,66,51.314885
388.423612,77,51.446277
252.108265,53,51.540605
384.717823,83,51.670369
314.667788,64,51.761703
366.581881,78,51.877933
230.560872,51,54.307831
242.264186,57,54.41213
321.959502,69,54.531025
319.546218,67,54.662857
197.206894,42,54.735865
169.635116,34,54.788589
227.716477,48,54.876024
368.742365,73,55.020069
221.709206,47,55.114216
